,id_x,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
6,69687967-146f-40b7-9dc9-851995c3f4ac,Derrick,Henry,7.6,395.0627138330078,RB4,RB,Tennessee Titans,,
8,f015ede6-d975-495c-ac72-4e01ec70fee8,Najee,Harris,8.7,373.3135737255859,RB5,RB,Pittsburgh Steelers,,
17,1fe3abfa-791d-4477-800e-d08243134ce7,Aaron,Jones,18.3,367.14810296582027,RB9,RB,Green Bay Packers,,
26,032962ab-fc10-45ea-92c4-24f0ae80de63,Javonte,Williams,26.6,348.7173044091797,RB14,RB,Denver Broncos,,
1,70580da9-7858-462f-a1fd-4ff47a7b1172,Cooper,Kupp,2.5,325.98497384277346,WR1,WR,Los Angeles Rams,,
0,fa2fcc47-5a09-458e-82b6-656b030ad88a,Jonathan,Taylor,1.2,323.0747021757812,RB1,RB,Indianapolis Colts,,
10,ff866ea0-6a39-4843-8a53-523c7b6e16e3,Travis,Kelce,11.3,305.8373096210937,TE1,TE,Kansas City Chiefs,,
22,03f17ad2-f686-42e3-bc73-343f72f24d01,A.J.,Brown,23.6,299.18089576074215,WR10,WR,Philadelphia Eagles,,
7,ca6b7b2f-cdba-40cd-86ec-851629b8890b,Stefon,Diggs,8.6,283.71011003808593,WR4,WR,Buffalo Bills,,
70,56644f6b-3c3b-41e0-9e97-e8a9ec3c84be,Devonta,Smith,71.4,277.19289345703123,WR35,WR,Philadelphia Eagles,,
28,a02e9e01-0185-4a4b-a692-cdd006d9ddf0,Josh,Allen,29,266.810061,QB1,QB,Buffalo Bills,,
52,72e44052-5065-4bd4-a2db-c3f9949ec20e,Lamar,Jackson,52,262.44104999999996,QB4,QB,Baltimore Ravens,,
119,07be9979-34f6-41ca-a078-54e1ec22699e,Deshaun,Watson,120.1,260.02851,QB15,QB,Cleveland Browns,,
61,775a2782-c1e2-40f7-983c-2cf0e7863edb,Josh,Jacobs,62.2,253.52459310302734,RB22,RB,Las Vegas Raiders,,
59,2933617f-a121-459c-9714-35bd8345303a,Kyler,Murray,60.8,252.34596000000002,QB5,QB,Arizona Cardinals,,
44,cd07ea39-bbc8-40f5-a61e-d16963f518a3,Justin,Herbert,44.9,248.92911,QB3,QB,Los Angeles Chargers,,
15,eddbec45-5a29-4976-af96-176858468bcb,D'Andre,Swift,16.7,241.53680681152343,RB8,RB,Detroit Lions,,
9,f40693b0-68e6-4360-b90c-b55bc425147b,Dalvin,Cook,11,238.46532704003906,RB6,RB,Minnesota Vikings,,
30,aa962038-90f9-43d6-9b87-b49999168b25,Michael,Pittman,31.6,234.79288034179686,WR14,WR,Indianapolis Colts,,
36,117bf732-d2a0-4094-b84b-5bb028010eb0,Patrick,Mahomes,39.4,232.60353,QB2,QB,Kansas City Chiefs,,
34,74bdf837-4480-49f7-b623-8420b98cd303,D.J.,Moore,36.1,230.2887162451172,WR16,WR,Carolina Panthers,,
81,f9a916a9-1045-4fca-a4d4-fd9ed9b65b09,Hunter,Renfrow,82.2,229.83683840332031,WR40,WR,Las Vegas Raiders,,
11,afce47e8-89bb-48d5-bc3a-5fc67a0ce50b,Davante,Adams,11.4,226.62622279785157,WR5,WR,Las Vegas Raiders,,
37,63335fc3-4ab9-4ebe-8a5c-dee868f45036,Diontae,Johnson,40,226.11206246582032,WR18,WR,Pittsburgh Steelers,,
14,2cd9ecbb-3f8a-4dda-b918-10163b9bf749,Mark,Andrews,16.3,221.2186153190918,TE2,TE,Baltimore Ravens,,
19,0424f7b7-948a-4e64-a462-1915a53c51e6,Alvin,Kamara,21.1,215.4997659185791,RB10,RB,New Orleans Saints,,
